Article#,Stock Available,MOP,NLC,Price,Discount/Unit,Discount,Discount %,Units,GP_per_unit,GP,GMV,GP_%
Bosch,"1,000","₹36,980.90","₹30,441.30","₹35,941.00","₹1,039.90","₹13,518.70",2.81%,13,"₹5,500.00","₹71,500.00","₹4,67,233.00",15.30%
Haier,"1,000","₹19,073.70","₹16,653.60","₹18,654.00",₹419.70,"₹26,860.80",2.20%,64,"₹2,000.00","₹1,28,000.00","₹11,93,856.00",10.72%
IFB,"1,000","₹34,036.00","₹29,976.20","₹33,476.00",₹560.00,"₹12,320.00",1.65%,22,"₹3,500.00","₹77,000.00","₹7,36,472.00",10.46%
LG,"1,000","₹32,424.20","₹27,063.90","₹29,564.00","₹2,860.20","₹21,05,107.20",8.82%,736,"₹2,500.00","₹18,40,000.00","₹2,17,59,104.00",8.46%
Samsung,"1,000","₹25,250.30","₹22,131.00","₹24,631.00",₹619.30,"₹3,89,539.70",2.45%,629,"₹2,500.00","₹15,72,500.00","₹1,54,92,899.00",10.15%
Whirlpool,"1,000","₹19,966.90","₹16,375.10","₹19,875.00",₹91.90,"₹49,809.80",0.46%,542,"₹3,500.00","₹18,97,000.00","₹1,07,72,250.00",17.61%
